service_id,date,exception_type
10127,20151114,1
10127,20151121,1
10127,20151128,1
10127,20151205,1
10127,20151212,1
10127,20151219,1
10127,20151226,1
10127,20151228,1
10127,20151229,1
10127,20151230,1
10127,20151231,1
10127,20160102,1
11127,20151114,1
11127,20151121,1
11127,20151128,1
11127,20151205,1
11127,20151226,1
11127,20151228,1
11127,20151229,1
11127,20151230,1
11127,20151231,1
11127,20160102,1
11127-36127,20151114,1
11127-36127,20151121,1
11127-36127,20151128,1
11127-36127,20151205,1
11127-36127,20151212,1
11127-36127,20151226,1
11127-36127,20151228,1
11127-36127,20151229,1
11127-36127,20151230,1
11127-36127,20151231,1
11127-36127,20160102,1
1127,20151112,1
1127,20151113,1
1127,20151116,1
1127,20151117,1
1127,20151118,1
1127,20151119,1
1127,20151120,1
1127,20151123,1
1127,20151124,1
1127,20151125,1
1127,20151126,1
1127,20151127,1
1127,20151130,1
1127,20151201,1
1127,20151202,1
1127,20151203,1
1127,20151204,1
1127,20151207,1
1127,20151208,1
1127,20151209,1
1127,20151210,1
1127,20151211,1
1127,20151214,1
1127,20151215,1
1127,20151216,1
1127,20151217,1
1127,20151218,1
12127,20151114,1
12127,20151121,1
12127,20151128,1
12127,20151205,1
12127,20160102,1
13127,20151114,1
13127,20151121,1
13127,20151128,1
13127,20151205,1
13127,20160102,1
13127-38127,20151114,1
13127-38127,20151121,1
13127-38127,20151128,1
13127-38127,20151205,1
13127-38127,20151212,1
13127-38127,20151226,1
13127-38127,20151228,1
13127-38127,20151229,1
13127-38127,20151230,1
13127-38127,20151231,1
13127-38127,20160102,1
13127-38127-45127,20151114,1
13127-38127-45127,20151121,1
13127-38127-45127,20151128,1
13127-38127-45127,20151205,1
13127-38127-45127,20151212,1
13127-38127-45127,20151219,1
13127-38127-45127,20151226,1
13127-38127-45127,20151228,1
13127-38127-45127,20151229,1
13127-38127-45127,20151230,1
13127-38127-45127,20151231,1
13127-38127-45127,20160102,1
14127,20151115,1
14127,20151122,1
14127,20151129,1
14127,20151206,1
14127,20160103,1
14127-39127,20151115,1
14127-39127,20151122,1
14127-39127,20151129,1
14127-39127,20151206,1
14127-39127,20151213,1
14127-39127,20160103,1
14127-39127-46127-55127,20151115,1
14127-39127-46127-55127,20151122,1
14127-39127-46127-55127,20151129,1
14127-39127-46127-55127,20151206,1
14127-39127-46127-55127,20151213,1
14127-39127-46127-55127,20151220,1
14127-39127-46127-55127,20151225,1
14127-39127-46127-55127,20151227,1
14127-39127-46127-55127,20160101,1
14127-39127-46127-55127,20160103,1
14127-55127,20151115,1
