stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
0004,"MEYLAN, REVIREE - SAYETTES",45.21205,5.76638,,GENREVIREES,0
0006,"LA TRONCHE, COMMANDANT NAL",45.20324,5.74535,,GENCOMMANAL,1
0007,"LA TRONCHE, MUSEE HEBERT",45.20564,5.74888,,GENMUSHEBER,1
0008,"LA TRONCHE, CENTRE THEOLOGIQUE",45.20617,5.75215,,GENCENTHEOL,1
0011,"MEYLAN, MALACHER",45.21128,5.78724,,GENMALACHER,1
0012,"LA TRONCHE, LA CARRONNERIE BASSE",45.20094,5.75814,,GENCARONBAS,1
0015,"MEYLAN, GRANIER",45.21024,5.78405,,GENGRANIER,1
0016,"MEYLAN, MAIRIE",45.20939,5.77782,,GENMEYLMAIR,1
0017,"MEYLAN, PISCINE DES BUCLOS",45.20883,5.77503,,GENPISBUCLO,1
0018,"MEYLAN, LE BRET",45.20598,5.77184,,GENLEBRET,1
0019,"MEYLAN, LE BRET",45.2059,5.77174,,GENLEBRET,1
0021,"MEYLAN, LA REVIREE",45.20731,5.7677,,GENREVIREE,1
0024,"GRENOBLE, VICTOR HUGO",45.19052,5.72485,,GENTROISDAU,1
0026,"MEYLAN, LES LECHERES",45.20454,5.75928,,GENLECHERES,1
0027,"MEYLAN, LES LECHERES",45.20522,5.75858,,GENLECHERES,1
0028,"MEYLAN, PLAINE FLEURIE",45.20268,5.7609,,GENPLAINEFL,1
0029,"MEYLAN, LES JAILLIERES",45.22064,5.78917,,GENJAILLIER,1
0030,"MEYLAN, SAINT-MURY",45.21947,5.78613,,GENSTMURY,0
0031,"MEYLAN, BERIVIERE",45.21882,5.78312,,GENBERIVIER,0
0032,"MEYLAN, LES MURIERS",45.21605,5.77947,,GENMURIERS,1
0033,"MEYLAN, CHAUMETIERE",45.2124,5.76983,,GENCHAUMETI,1
0034,"MEYLAN, SAINT-JEAN BOSCO",45.21282,5.77305,,GENSTJBOSCO,1
0035,"MEYLAN, LYCEE DU GRESIVAUDAN - BACHAIS",45.21416,5.7791,,GENLYCGRESI,1
0036,"MEYLAN, MONTLIVET",45.22996,5.78973,,GENMONTLIVE,0
0037,"DOMENE, DOMENE MAIRIE",45.20152,5.83821,,GENDOMENEMA,1
0038,"DOMENE, LES MORTES",45.19635,5.82887,,GENMORTES,1
0039,"MURIANETTE, LE BOURG",45.19186,5.81663,,GENBOURG,1
0040,"GIERES, LA PERRIERE",45.18902,5.81006,,GENPERRIERE,1
