route_id,trip_id,service_id,direction_id,shape_id,bikes_allowed
D,574480,21127-24127-25127-29127-51127-5127-54127,0,SEM_D_1,
C5,590382,13127,0,SEM_C5_1,2
15,570952,47127,0,SEM_15_4,2
14,575281,1127,0,SEM_14_1,2
C5,577584,13127-38127,0,SEM_C5_1,2
E,573710,29127-5127,1,SEM_E_1,
21,590435,8127,0,SEM_21_1,2
C4,573487,20127-22127-23127-28127-30127-31127-4127-43127-7127,1,SEM_C4_2,2
C2,584232,35127-6127,1,SEM_C2_1,2
47,595990,3127,0,SEM_47_1,2
12,578126,17127-26127,0,,2
A,585928,26127,1,SEM_A_2,
C2,585204,19127-42127-56127,0,SEM_C2_2,2
C,586767,12127,1,SEM_C_2,
21,574833,1127,1,SEM_21_2,2
C3,591342,11127,1,SEM_C3_1,2
C4,592130,26127,0,SEM_C4_1,2
B,574175,24127-25127-29127-5127,1,SEM_B_2,
42,594052,2127,1,SEM_42_1,2
C2,584231,35127-6127,1,SEM_C2_1,2
D,568753,41127,0,SEM_D_1,
C4,576630,17127-26127-40127,0,SEM_C4_1,2
A,591231,11127,1,SEM_A_2,
C4,573453,20127-22127-23127-28127-30127-31127-4127-43127-7127,0,SEM_C4_1,2
C5,584738,35127-6127,0,SEM_C5_1,2
C4,579196,44127-50127-53127,1,SEM_C4_2,2
C6,577527,13127-38127,0,SEM_C6_2,2
B,583171,37127,0,SEM_B_1,
E,592745,12127,1,SEM_E_1,
C2,580613,45127,0,SEM_C2_2,2
B,586000,51127-54127,1,SEM_B_2,
E,573982,29127-5127,1,SEM_E_1,
16,590049,13127,1,SEM_16_2,2
C6,578912,44127-50127-53127,1,SEM_C6_1,2
B,595454,21127,1,SEM_B_2,
B,570600,34127,0,SEM_B_1,
13,572637,20127-22127-23127-28127-30127-31127-4127-43127-7127,0,SEM_13_1,2
11,579583,44127-50127-53127,1,SEM_11_2,2
12,573098,20127-22127-23127-28127-30127-31127-4127-43127-7127,0,,2
E,589090,18127,0,SEM_E_2,
C,582291,51127-54127,0,SEM_C_1,
B,587045,12127,1,SEM_B_2,
B,568355,32127-33127,1,SEM_B_2,
C1,596980,45127,0,SEM_C1_2,2
C2,585209,19127-42127-56127,1,SEM_C2_1,2
B,586067,51127-54127,0,SEM_B_1,
C1,596554,42127-56127,1,SEM_C1_1,2
C3,573394,20127-22127-23127-28127-30127-31127-4127-43127-7127,0,SEM_C3_2,2
A,580063,44127-50127-53127,0,SEM_A_1,
B,568657,32127-33127,0,SEM_B_1,
11,576236,40127,0,SEM_11_1,2
15,570999,47127,0,SEM_15_2,2
C3,581705,11127-36127,0,SEM_C3_2,2
A,577836,17127,1,SEM_A_2,
C,586689,12127,0,SEM_C_1,
15,575922,8127,0,SEM_15_2,2
C6,581950,11127-36127,0,SEM_C6_2,2
11,585670,11127,1,SEM_11_2,2
C,594759,34127,1,SEM_C_2,
B,593232,12127,1,SEM_B_2,
15,574745,14127-55127,0,SEM_15_4,2
B,586153,51127-54127,0,SEM_B_1,
C,569833,32127-33127,0,SEM_C_1,
C,592858,12127,0,SEM_C_1,
A,595273,20127-22127-23127,1,SEM_A_2,
E,569593,32127-33127,0,SEM_E_2,
14,570707,47127,0,SEM_14_1,2
21,570818,47127,0,SEM_21_1,2
16,583688,35127-6127,1,SEM_16_2,2
12,578117,17127-26127,1,SEM_12_1,2
C4,581845,11127-36127,1,SEM_C4_2,2
A,585605,11127,1,SEM_A_2,
D,583487,37127,1,SEM_D_2,
E,588266,21127-24127-25127,0,SEM_E_2,
C6,591821,11127,0,SEM_C6_2,2
B,574352,24127-25127-29127-5127,1,SEM_B_2,
E,578335,51127-54127,0,SEM_E_2,
E,589133,18127,1,SEM_E_1,
E,578361,51127-54127,1,SEM_E_1,
20,580882,45127,1,SEM_20_2,2
B,583195,37127,0,SEM_B_1,
C,594675,34127,1,SEM_C_2,
B,574201,24127-25127-29127-5127,0,SEM_B_1,
B,568518,32127-33127,0,SEM_B_1,
C,582787,37127,0,SEM_C_1,
22,589730,13127,1,SEM_22_2,2
E,589063,18127,0,SEM_E_2,
E,569200,41127,0,SEM_E_2,
C,575520,18127,1,SEM_C_2,
E,594461,34127,0,SEM_E_2,
E,573866,29127-5127,1,SEM_E_1,
A,577902,17127,1,SEM_A_2,
B,574169,24127-25127-29127-5127,1,SEM_B_2,
52,588005,10127,1,,2
A,579975,44127-50127-53127,0,SEM_A_1,
A,581361,36127,0,SEM_A_1,
E,588347,21127-24127-25127,1,SEM_E_1,
B,568260,32127-33127,0,SEM_B_1,
11,592416,26127,1,SEM_11_2,2
15,590493,8127,1,SEM_15_1,2
B,586190,51127-54127,0,SEM_B_1,
C5,580313,45127,1,SEM_C5_2,2
14,590687,8127,1,SEM_14_2,2
A,572463,28127-30127-31127-4127-7127,1,SEM_A_2,
C1,583749,6127,1,SEM_C1_1,2
C1,596423,52127,1,SEM_C1_1,2
B,575784,18127,1,SEM_B_2,
C,594530,34127,0,SEM_C_1,
A,594967,20127-22127-23127,1,SEM_A_2,
A,591164,11127,0,SEM_A_1,
C5,580221,45127,1,SEM_C5_2,2
E,594175,34127,0,SEM_E_2,
C2,584137,35127-6127,0,SEM_C2_2,2
53,587966,10127,1,,2
C5,590239,13127,1,SEM_C5_2,2
B,593185,12127,0,SEM_B_1,
C2,571423,52127,1,SEM_C2_1,2
C2,588740,56127,0,SEM_C2_2,2
E,592744,12127,1,SEM_E_1,
E,594234,34127,0,SEM_E_2,
C,570052,32127-33127,1,SEM_C_2,
15,570918,47127,1,SEM_15_1,2
C2,571469,52127,1,SEM_C2_1,2
14,574788,14127-39127-46127-55127,0,SEM_14_1,2
13,590877,11127,0,SEM_13_1,2
66,597869,27127,0,,2
D,575445,18127,1,SEM_D_2,
B,589446,18127,1,SEM_B_2,
C2,571427,52127,1,SEM_C2_1,2
C1,596970,45127,0,SEM_C1_2,2
A,585423,11127,0,SEM_A_1,
C5,588660,56127,1,SEM_C5_2,2
53,587964,10127,1,,2
A,592520,26127,0,SEM_A_1,
C1,596255,38127,0,SEM_C1_2,2
C2,571456,52127,0,SEM_C2_2,2
C,582267,51127-54127,0,SEM_C_1,
C5,584981,19127-42127-56127,0,SEM_C5_1,2
12,578140,17127-26127,0,,2
B,568412,32127-33127,1,SEM_B_2,
16,583598,35127-6127,1,SEM_16_2,2
E,588494,21127-24127-25127,0,SEM_E_2,
B,574322,24127-25127-29127-5127,0,SEM_B_1,
